CompTotal;Gender;Manager;YearsCode;Age1stCode;YearsCodePro;Education
84000;Man;IC;8;16;Less than 1 year;Bachelor's
100000;Man;IC;3;19;2;Bachelor's
120000;Man;Manager;34;6;21;Master's
155000;Man;IC;31;11;25;Bachelor's
130000;Man;Manager;11;12;11;PhD
130000;Man;IC;20;18;6;PhD
190000;Man;IC;20;17;16;Bachelor's
225000;Man;Manager;18;18;14;Bachelor's
105000;Man;IC;17;11;12;Less than bachelor's
105000;Man;IC;8;23;8;Less than bachelor's
165000;Man;IC;35;5;14;Less than bachelor's
110000;Man;IC;12;15;6;Master's
176874;Woman;IC;4;16;2;Less than bachelor's
165000;Man;IC;30;Younger than 5 years;7;Bachelor's
111000;Man;IC;6;12;2;Bachelor's
100000;Man;Manager;9;18;5;Bachelor's
95000;Man;IC;13;11;4;Master's
92500;Man;IC;14;15;2;Bachelor's
80000;Man;IC;12;32;4;Bachelor's
110000;Man;IC;13;18;8;Bachelor's
78000;Woman;IC;2;25;2;Bachelor's
73000;Man;IC;34;8;10;Master's
74000;Woman;IC;5;18;2;Bachelor's
74000;Man;IC;3;22;2;Master's
130000;Man;Manager;17;18;15;Master's
105000;Man;IC;23;13;16;Less than bachelor's
60000;Man;IC;20;12;13;Bachelor's
160000;Man;IC;9;11;4;Master's
105000;Woman;IC;3;9;3;Less than bachelor's
88400;Woman;IC;6;18;4;Bachelor's
95000;Man;IC;9;24;7;Bachelor's
51700;Woman;IC;3;13;2;Master's
84000;Woman;IC;1;18;Less than 1 year;Master's
120000;Man;IC;25;10;13;Master's
97000;Man;IC;10;17;10;Bachelor's
161000;Man;IC;27;8;22;Bachelor's
72000;Man;IC;3;27;Less than 1 year;Bachelor's
